titular,url
"Trump y el Choque de Civilizaciones en el siglo XXI: ""Plantea una guerra entre el 'hogar' estadounidense y el 'hogar' europeo""",https://www.elmundo.es/papel/historias/2025/12/27/694e92a721efa08a2f8b4596.html
"""Donald Trump no se presentará a un tercer mandato porque es viejo y está enfermo""",https://www.elmundo.es/papel/historias/2025/12/27/694e840ce85ece221a8b458c.html
2026: los desafíos de la batalla por el nuevo orden mundial,https://www.elmundo.es/opinion/editorial/2025/12/28/694ff6fdfc6c83ac278b456d.html
"El año en el que España se quedó fuera del centro de decisiones de la UE: la inmigración, la defensa de la transición 'verde' y el gasto militar arrinconan a Sánchez",https://www.elmundo.es/espana/2025/12/27/69496da721efa094758b458d.html
La empresa de Santos Cerdán escondía un millón de euros listo para repartir justo antes de ser descubierta por la UCO,https://www.elmundo.es/espana/2025/12/28/69503503fdddffde6e8b456f.html
"Reynés: ""Seguiremos descarbonizando pero no de forma que vaya contra el interés del accionista""",https://www.elmundo.es/economia/empresas/2025/12/27/694abca0e9cf4a33448b4594.html
"Muere Brigitte Bardot, el espíritu de una época y el ideal de la mujer contra el ideal de la mujer",https://www.elmundo.es/cultura/cine/2025/12/28/6950ffc3e9cf4a99658b4585.html
"La vida de Brigitte Bardot, en imágenes",https://www.elmundo.es/album/cultura/cine/2025/12/28/6951030afdddff6f308b4580.html
Películas con las que Brigitte Bardot conquistó y sedujo a todos,https://www.elmundo.es/cultura/cine/2025/12/28/69510b1ce85ecedd4f8b4581.html
"La belleza turbadora de Brigitte Bardot, una mujer que se casó cuatro veces y repudió a su hijo",https://www.elmundo.es/loc/celebrities/2025/12/28/69511f59e9cf4a584b8b4570.html
"De Macron a Le Pen, el mundo de la política recuerda a Brigitte Bardot tras su muerte: ""Encarnó una vida de libertad""",https://www.elmundo.es/cultura/cine/2025/12/28/69511b27e4d4d80f7a8b4583.html
Científicos alemanes logran replicar el esmalte dental de forma artificial e integrarlo en productos de cuidado diario,https://www.elmundo.es/uestudio/2025/12/17/6942a536e85ece38158b45ac.html
Tienes 6 intentos y 1 sola palabra,https://www.elmundo.es/juegos/palabro/
Sabes más palabras de las que crees,https://www.elmundo.es/juegos/letrerio/
Encuentra las palabras ocultas,https://www.elmundo.es/juegos/sopa-de-letras/
Tu reto diario en nivel fácil,https://www.elmundo.es/juegos/sudoku-facil/
No todos lo terminan... ¿Tú podrás?,https://www.elmundo.es/juegos/sudoku-dificil/
"Sabalenka y Kyrgios, una Batalla de los Sexos que amenaza al tenis femenino: ""Incluso un júnior me ganaba siendo yo la número uno""",https://www.elmundo.es/deportes/tenis/2025/12/27/694ae51021efa0f4558b456e.html
"El drama en Indonesia de la exitosa familia de hosteleros vinculada al Valencia CF: ""Estamos destrozados""",https://www.elmundo.es/comunidad-valenciana/2025/12/28/69501935e4d4d8225d8b457d.html
"El 'villamanín' de Palencia con el Gordo en 1986: ""Compraron visones y tuvieron que devolverlos""",https://www.elmundo.es/espana/2025/12/28/69502bcffc6c8394328b457f.html
Inundaciones y grandes crecidas de ríos en Málaga a causa del fuerte temporal,https://www.elmundo.es/espana/2025/12/28/6950936a21efa01f228b4578.html
"La seguridad de la sanidad vasca, controlada por un 'ertzaina' falsificador",https://www.elmundo.es/pais-vasco/2025/12/28/69501ed7e9cf4a74448b457a.html
Orban y su negativa como instrumento de negociación permanente en Bruselas,https://www.elmundo.es/internacional/2025/12/27/694e815b21efa0af7d8b4595.html
El Ayuntamiento de Martos (Jaén) cesa al concejal del PSOE Manuel Cortés por un vídeo entonando cánticos machistas,https://www.elmundo.es/espana/2025/12/27/695057c7e85ecee2408b456d.html
"Arte, ciencia, gastronomía y moda unidos por la fotografía móvil en una experiencia creativa única",https://native.telva.com/2025/12/24xi/index.html
"Nadie sabe tampoco, Ache",https://www.elmundo.es/opinion/columnistas/2025/12/27/69501f89fc6c8329108b4574.html
España después de Extremadura,https://www.elmundo.es/opinion/columnistas/2025/12/27/694faeb5fdddff56028b45aa.html
"Lecciones para la derecha española del preso Sarkozy: ""No se puede insultar a los ciudadanos""",https://www.elmundo.es/opinion/columnistas/2025/12/28/694a853ce4d4d8dd088b4585.html
"La desconocida historia de los Tepper, la familia de misioneros norteamericanos que ayudaba a los yonkis en los poblados de la droga: ""Casi todos murieron a finales de los 80""",https://www.elmundo.es/madrid/2025/12/28/694daae4fc6c8318568b45b3.html
"Muere Carles Vilarrubí, empresario vinculado a Convergència y a Jordi Pujol y ex vicepresidente del Barça, a los 71 años en Barcelona",https://www.elmundo.es/cataluna/2025/12/28/6950fe19fdddff9b0a8b4572.html
"Same pearls, new attitude: la revolución silenciosa de Majorica",https://www.telva.com/uestudio/2025/12/16/69413e6a01a2f1b06e8b45ac.html
"Una ciudad en psicosis por el narco: ""La Marsella que conocemos no sería posible sin la droga que nos llega desde Cataluña""",https://www.elmundo.es/cronica/2025/12/27/6949958dfdddff71608b45ae.html
Inundaciones por grandes crecidas de ríos en Málaga por el fuerte temporal,https://www.elmundo.es/andalucia/2025/12/28/69512581e9cf4a01028b4571-video.html
Muere la actriz y activista francesa Brigitte Bardot a los 91 años,https://www.elmundo.es/cultura/cine/2025/12/28/6951170b21efa04d498b4579-video.html
"Un vehículo en sentido contrario provoca un choque frontal con seis heridos, dos graves",https://www.elmundo.es/madrid/2025/12/28/69510619fdddff9b0a8b4579.html
Las 10 mejores ciudades de Europa donde celebrar Nochevieja,https://www.elmundo.es/album/viajes/el-baul/2025/12/27/6940028b21efa0e3798b459d.html
"Los más y menos afortunados looks de la semana, del cuerpo drapeado de Isabel Díaz Ayuso a los zapatos verdes de Begoña Villacís",https://www.elmundo.es/album/yodona/moda/2025/12/28/694e59dde4d4d8e5128b45a4.html
Los cuatro suplementos fundamentales para tu salud en 2026,https://www.elmundo.es/ciencia-y-salud/salud/2025/12/28/694eb961fc6c833b138b4599.html
"El armario de... Cristina García: ""La peluca te posee. Te transforma. Deberían recetarla los psicólogos""",https://www.elmundo.es/yodona/moda/2025/12/28/694a6312e9cf4a16038b4572.html
Menú semanal 'batch cooking' del 29 al 4 de enero,https://cooking.elmundo.es/menu-semanal/2025/12/26/menu-semanal-batch-cooking-29-4-enero.html
Chollos Amazon: relojes Xiaomi desde 24 euros y hasta 85% de descuento,https://www.elmundo.es/ofertas-regalos/2025/12/28/6950eefae4d4d8ed478b4575.html
Jordi Évole se planta ante las acusaciones por su documental sobre Eduardo Casanova y el VIH,https://www.elmundo.es/television/2025/12/28/69510547e4d4d8f75a8b45a1.html
"Pierre-Yves Rochon: ""No creo que el culto a la personalidad beneficie al talento""",https://www.elmundo.es/loc/famosos/2025/12/26/69494310e4d4d86e6f8b458d.html
"Marta Masi, farmacéutica: ""Lo mejor para saciarnos es empezar las comidas tomando proteínas""",https://www.elmundo.es/yodona/vida-saludable/2025/12/27/69491f51fdddfff06a8b459a.html
"Movistar Arena: cuando la música, el deporte y la energía limpia marcan el ritmo de Madrid",https://www.elmundo.es/uestudio/2025/12/19/69453da0fc6c8383648b4581.html
Las mejores fotos de la semana de los famosos,https://www.elmundo.es/album/loc/famosos/2025/12/26/694e93a3e85ececc228b4582.html
"Quietud, la salsa picante 'premium' hecha con vinagre de Jerez que cada vez gana más espacio en las neveras",https://www.elmundo.es/metropoli/gourmet/2025/12/28/694a839ae4d4d837328b4571.html
Un colono israelí atropella a un palestino que estaba rezando,https://www.elmundo.es/internacional/2025/12/27/694fbd0fe85ece31708b456d-video.html
Momento en el que un dron ruso impacta contra un edificio en Kiev,https://www.elmundo.es/internacional/2025/12/27/6950075d21efa0586d8b45a2-video.html
"Sánchez se suma a la moda de los 'house tour' y enseña La Moncloa ""en plan Isabel Preysler""",https://www.elmundo.es/loc/2025/12/26/694e8923fdddff162e8b459c-video.html
