titular,url
Europa entra en estado de alerta ante la embestida estratégica de Trump,https://elpais.com/internacional/2025-12-28/europa-entra-en-estado-de-alerta-ante-la-embestida-estrategica-de-trump.html
El año de la gran reversión de alianzas,https://elpais.com/opinion/2025-12-28/el-ano-de-la-gran-reversion-de-alianzas.html
"Muere la actriz Brigitte Bardot, musa del cine francés y activista controvertida",https://elpais.com/cultura/2025-12-28/muere-la-actriz-y-cantante-brigitte-bardot-a-los-91-anos.html
Badalona y el desalojo del B9: un “ensayo” de deshumanización,https://elpais.com/espana/catalunya/2025-12-28/badalona-y-el-desalojo-del-b9-un-ensayo-de-lo-que-supone-senalar-al-migrante-pobre.html
¿Qué pasa si uno solo de los ganadores del Gordo de Villamanín decide denunciar?,https://elpais.com/loteria-de-navidad/2025-12-28/que-pasa-si-uno-solo-de-los-ganadores-del-gordo-de-villamanin-decide-denunciar.html
"El momento de Nueva York, la hora de Mamdani",https://elpais.com/eps/2025-12-28/el-gran-momento-de-nueva-york.html
Polémica con las angulas: cocineros que rechazan su consumo y pescaderos que defienden su venta,https://elpais.com/gastronomia/2025-12-28/polemica-con-las-angulas-cocineros-que-rechazan-su-consumo-y-pescaderos-que-defienden-su-venta-por-ser-legal.html
Seis pensadores que marcaron 2025,https://elpais.com/ideas/2025-12-28/seis-pensadores-que-marcaron-el-ano-2025.html
El barco pirata de The Rolling Stones encalla: “Probablemente no los veremos más en directo”,https://elpais.com/cultura/2025-12-28/el-barco-pirata-de-los-rolling-stones-encalla-probablemente-no-los-veremos-mas-en-directo.html
"Sydney Sweeney, la actriz a quien alaba Trump",https://elpais.com/cultura/cine/2025-12-28/sydney-sweeney-la-actriz-a-quien-alaba-trump-las-mujeres-se-enfrentan-a-lo-que-la-sociedad-quiere-que-sean.html
Sánchez no debería volver a ser candidato,https://elpais.com/ideas/2025-12-28/sanchez-no-deberia-volver-a-ser-candidato.html
Los malditos anuncios del turrón,https://elpais.com/eps/2025-12-28/los-malditos-anuncios-del-turron.html
Una Biblia customizada,https://elpais.com/opinion/2025-12-28/una-biblia-customizada.html
El oráculo de la Bolsa dice adiós: por qué Warren Buffett es considerado el mejor inversor de la historia,https://elpais.com/economia/negocios/2025-12-27/el-oraculo-de-la-bolsa-dice-adios-por-que-warren-buffett-es-considerado-el-mejor-inversor-de-la-historia.html
